country,v1
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,2
Belgium,8
Belgium,2
Belgium,2
Belgium,1
Belgium,8
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,2
Belgium,1
Belgium,8
Belgium,2
Belgium,2
Belgium,2
Belgium,8
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,2
Belgium,8
Belgium,2
Belgium,2
Belgium,1
Belgium,1
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,1
Belgium,1
Belgium,8
Belgium,2
Belgium,2
Belgium,8
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,1
Belgium,8
Belgium,2
Belgium,8
Belgium,8
Belgium,1
Belgium,1
Belgium,2
Belgium,2
Belgium,1
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,8
Belgium,1
Belgium,1
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,1
Belgium,8
Belgium,1
Belgium,1
Belgium,8
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,8
Belgium,1
Belgium,1
Belgium,1
Belgium,1
Belgium,2
Belgium,1
Belgium,2
Belgium,8
Belgium,1
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,8
Belgium,2
Belgium,8
Belgium,1
Belgium,1
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,8
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,8
Belgium,8
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,8
Belgium,1
Belgium,2
Belgium,2
Belgium,1
Belgium,2
Belgium,2
Belgium,2
Belgium,2
Belgium,1
Belgium,1
Belgium,1
Belgium,1
Belgium,2
Belgium,2
Belgium,8
Belgium,1
